,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
142612,9.0,广东,113459999.947,0.036,0.013,0.003,23.33513857142857,114.03101857142859
143310,9.0,广西,49259999.99,0.007,0.003,0.001,,
143311,9.0,新疆,24869999.999,0.001,0.0,0.0,,
143312,9.0,江苏,80509999.97,0.02,0.008,0.002,33.117227692307694,119.85052999999999
144019,9.0,江西,46479999.938,0.042,0.016,0.004,28.422473636363634,116.2816772727273
144650,9.0,河北,75559999.984,0.011,0.004,0.001,39.43456181818181,116.94264636363637
145379,9.0,河南,96049999.848,0.104,0.039,0.01,34.62354470588235,114.39410823529411
146185,9.0,浙江,57369999.976,0.016,0.006,0.002,30.10409363636364,120.86088727272727
146775,9.0,海南,9339999.996,0.002,0.001,0.0,19.191874285714285,110.12555857142857
147543,9.0,湖北,59169274.074,457.205,247.914,120.806,31.060170000000003,113.48653125000003
148339,9.0,湖南,68989999.873,0.087,0.032,0.008,28.16187230769231,112.56216384615384
148981,9.0,甘肃,26369999.998,0.001,0.001,0.0,37.30401,103.87728333333332
149841,9.0,福建,39409999.981,0.013,0.005,0.001,26.142049999999998,118.73027333333334
150436,9.0,西藏,3439999.987,0.009,0.003,0.001,,
150437,9.0,贵州,35999999.993,0.005,0.002,0.0,27.496083333333335,107.00552
150965,9.0,辽宁,43589999.998,0.001,0.0,0.0,41.50919357142857,123.15024785714284
151740,9.0,重庆,31019999.921,0.054,0.02,0.005,31.947670000000002,109.8788
151743,9.0,陕西,38639999.973,0.018,0.007,0.002,35.282599000000005,109.596947
152538,9.0,青海,6029999.985,0.01,0.004,0.001,36.88553,102.31702999999999
152612,9.0,黑龙江,37729999.998,0.002,0.001,0.0,47.34939249999999,130.2335575
153430,10.0,上海,24239999.974,0.018,0.007,0.002,31.6229,121.54409
153434,10.0,云南,48299999.993,0.005,0.002,0.001,25.904379999999996,102.30507500000002
154106,10.0,内蒙古,25339999.979,0.014,0.005,0.001,,
154107,10.0,北京,21539999.966,0.023,0.009,0.002,40.45678,117.12141000000001
154110,10.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
154809,10.0,四川,83409999.964,0.024,0.009,0.003,30.53237777777778,105.2965627777778
155682,10.0,天津,15599999.994,0.004,0.002,0.0,40.045770000000005,117.82478
155686,10.0,宁夏,6879999.966,0.022,0.009,0.002,,
155687,10.0,安徽,63239999.939,0.041,0.016,0.004,32.297855625000004,117.78378999999998
156392,10.0,山东,100469999.983,0.011,0.004,0.001,36.72984058823529,118.55807705882354
157165,10.0,山西,37179999.996,0.002,0.001,0.0,37.94250727272727,113.0517218181818
157955,10.0,广东,113459999.927,0.049,0.019,0.005,23.33513857142857,114.03101857142859
158653,10.0,广西,49259999.986,0.009,0.004,0.001,,
158654,10.0,新疆,24869999.998,0.001,0.0,0.0,,
158655,10.0,江苏,80509999.959,0.027,0.011,0.003,33.117227692307694,119.85052999999999
159362,10.0,江西,46479999.915,0.057,0.022,0.006,28.422473636363634,116.2816772727273
159993,10.0,河北,75559999.979,0.014,0.006,0.002,39.43456181818181,116.94264636363637
160722,10.0,河南,96049999.791,0.14,0.054,0.015,34.62354470588235,114.39410823529411
161528,10.0,浙江,57369999.967,0.022,0.009,0.002,30.10409363636364,120.86088727272727
162118,10.0,海南,9339999.995,0.003,0.001,0.0,19.191874285714285,110.12555857142857
162886,10.0,湖北,59169075.735,564.104,305.887,154.275,31.060170000000003,113.48653125000003
163682,10.0,湖南,68989999.825,0.117,0.045,0.013,28.16187230769231,112.56216384615384
